Date_,Units,Visits,Spend,Radio_flux,Sunspot_N,Sunspot_A,Proton_F_b1MeV,Proton_F_b10MeV,Proton_F_b100MeV,MEGAElectron_F_b06MeV,Electron_F_b2MeV,Neutron_M
14-Jan-09,68681,59913,186584.29,491,74,120,6110000,135000,30500,29340,19060000,699.7
21-Jan-09,62750,54776,163777.81,495,13,10,5570000,131000,29500,7660,447000,699.53
28-Jan-09,56099,49760,147559.96,488,0,0,5810000,132000,29600,21800,1016000,700.2
04-Feb-09,59495,52723,160947.05,485,0,0,5910000,137000,30200,20970,1069000,699.43
11-Feb-09,92694,74740,207625.82,491,11,10,1990000,138000,30600,54800,3226000,700.77
18-Feb-09,73303,61518,170471.24,491,22,20,8700000,137000,29800,151800,253357000,699.91
25-Feb-09,71551,59131,163879.23,492,26,30,8180000,134000,29500,74100,112300000,698.93
04-Mar-09,51946,44450,120122.46,487,12,10,10370000,134000,28800,41900,10980000,-3699.75
11-Mar-09,57326,50286,160732.97,482,24,40,8050000,136000,30500,31800,6640000,-396.95
18-Mar-09,63550,55629,177014.8,480,0,0,8130000,135000,29900,182300,416510000,698.76
25-Mar-09,60787,53813,165930.07,483,0,0,3750000,136000,30300,56000,86450000,697.73
01-Apr-09,62291,53635,166919.25,496,0,0,4460000,136000,31600,64800,43100000,701.21
08-Apr-09,59146,51601,164739.97,490,0,0,3870000,138000,31200,12080,12980000,701.02
15-Apr-09,50793,44692,136871.41,483,0,0,6830000,134000,29500,231100,651095000,700.45
22-Apr-09,52113,45924,138661.25,492,11,10,3530000,134000,29500,40800,32700000,686.29
29-Apr-09,48487,42860,130618.55,486,15,20,4350000,139000,30900,12650,9290000,697.44
06-May-09,64276,53967,164313.53,480,12,10,4410000,141000,31800,2310,1770000,700.66
13-May-09,72787,62484,177480.23,505,12,10,4370000,136000,30000,125300,81250000,700.38
20-May-09,62400,55028,161861.58,513,83,100,5650000,139000,30400,20100,12230000,698.64
27-May-09,57730,51390,151973.45,487,13,30,4650000,137000,30700,4940,2740000,701.6
03-Jun-09,59940,53536,160024.85,492,74,180,3960000,138000,31000,3040,686000,699.51
10-Jun-09,66922,59560,177486.07,486,54,70,3590000,137000,30200,2780,367000,698.62
17-Jun-09,61673,54995,165602.87,477,23,20,4800000,137000,31300,1046,327000,700.57
24-Jun-09,51187,45718,141011.15,472,62,140,5560000,137000,30800,295,309000,-1500.31
01-Jul-09,58798,51231,158614.34,474,0,0,4380000,136000,28800,82860,28192000,698.14
08-Jul-09,63580,56014,177045.26,489,129,860,6410000,138000,31800,124000,68000000,699.12
15-Jul-09,59624,52842,165333.36,474,28,290,5640000,141000,32200,34500,6580000,699.82
22-Jul-09,51683,46243,143233.21,472,0,0,5020000,143000,31800,101100,39249000,701.17
29-Jul-09,49278,44021,136118.64,478,0,0,10830000,136000,30400,253000,305000000,699.44
05-Aug-09,71530,61513,174313.12,472,0,0,16900000,140000,31900,57200,65170000,699.68
12-Aug-09,61803,55487,162676.32,470,0,0,13450000,132000,28500,47470,8027000,698.86
19-Aug-09,80074,67915,208100.57,474,0,0,8310000,143000,32000,38100,10350000,700.78
26-Aug-09,69082,60766,176815.97,470,0,0,8400000,141000,31400,104400,36920000,699.17
02-Sep-09,64165,56591,166629.85,476,24,20,6580000,139000,30500,37530,2936000,700.64
09-Sep-09,54584,48521,141884.7,482,0,0,5810000,137000,30500,31000,3060000,700.47
16-Sep-09,58189,51919,156569.94,483,0,0,5030000,138000,29700,7920,793000,698.51
23-Sep-09,68484,59852,199537.89,503,68,220,3650000,136000,29400,8240,446000,701.84
30-Sep-09,75128,63234,196728.23,508,118,390,5390000,142000,31800,14570,384000,697.3
07-Oct-09,60838,54269,171266.35,495,11,10,3140000,138000,30900,7980,335000,699.89
14-Oct-09,63542,56697,181948.26,489,0,0,2860000,138000,31400,1153,293000,700.62
21-Oct-09,61880,54338,173358.77,494,11,10,3680000,146000,32500,162,291000,701.94
28-Oct-09,59763,51784,162901.31,540,163,1100,3960000,140000,30100,53590,13805000,697.98
04-Nov-09,54378,48448,155439.73,513,32,700,6800000,138000,30600,50100,12770000,700.09
11-Nov-09,56847,50995,164500.46,501,80,100,4820000,139000,30500,19170,3739000,699.64
18-Nov-09,80146,65812,220358,526,63,50,3050000,141000,31600,3870,596000,697.22
25-Nov-09,68073,59394,179932.23,530,88,60,4270000,136000,29700,9200,524000,699.34
02-Dec-09,63315,56021,168567.41,509,0,0,2740000,140000,30800,31400,5490000,700.4
09-Dec-09,100992,83964,233886.03,504,13,10,3230000,141000,32400,7250,1611000,701.24
16-Dec-09,73829,63625,190817.65,541,148,370,3660000,140000,32000,860,314000,-401.31
23-Dec-09,87864,75986,211331.99,580,220,1360,3600000,139000,30400,427,277000,700.25
30-Dec-09,62506,54688,158496.2,534,90,340,3530000,141000,31100,398,267000,700.63
06-Jan-10,98775,87210,254203.56,536,102,890,4540000,143000,32200,417,265000,684.59
13-Jan-10,103380,90719,261133.84,596,185,1300,4130000,141000,32000,1500,281000,699.73
20-Jan-10,60543,54135,159310.44,590,130,1290,22560000,143000,30700,20900,905000,699.77
27-Jan-10,69187,62114,190941.09,574,196,1430,1760000,136000,29700,49800,7750000,695.35
03-Feb-10,66472,58962,179898.63,523,102,330,3560000,138000,30100,42700,13540000,698.33
10-Feb-10,72624,64624,197797.9,606,303,1880,4220000,135000,29100,84400,59560000,693.68
17-Feb-10,65817,58088,178410.15,635,271,960,3800000,134000,28000,20400,2514000,691.7
24-Feb-10,61269,54673,168419.46,588,161,400,2930000,133000,29200,32300,8410000,694.69
03-Mar-10,87288,74889,235027.24,558,209,280,2350000,138000,31300,11560,3373000,694.34
10-Mar-10,67839,59765,193870.94,550,87,130,2790000,136000,30600,8020,810000,698
17-Mar-10,29764,26367,83815.3,613,206,1240,6500000,127000,27200,234000,582800000,-4801.75
24-Mar-10,63232,55249,186447.88,589,159,500,5100000,131000,28600,23600,21600000,-5899.48
31-Mar-10,61042,53457,177705.42,592,202,2880,3790000,128000,29100,10260,1663000,700.25
07-Apr-10,66098,57243,180454.17,544,227,1360,68740000,120000,25400,191801,8101230000,-6999.93
14-Apr-10,56270,50521,156003.4,527,85,140,15520000,120000,29700,113953,15363000000,-6999.93
21-Apr-10,59316,52900,165474.56,526,0,0,1720000,124000,50100,4410,94800000,-6999.93
28-Apr-10,77813,68334,190454.96,527,12,10,1567000,112000,33500,2260,15770000,-6999.93
05-May-10,82546,72592,211458.96,558,280,420,3500000,102000,25400,20690,1944900000,-6999.93
12-May-10,78140,69124,200692.34,531,92,160,3170000,131000,51100,31600,3550000000,-6999.93
19-May-10,79058,70308,197352.97,485,0,0,3180000,138000,59400,7930,770800000,-6999.93
26-May-10,58306,51885,159359.79,506,114,470,1610000,123000,45500,3060,34600000,-6999.93
02-Jun-10,55547,49456,153339.76,512,177,265,3280000,104000,25000,20450,1755300000,-6999.93
09-Jun-10,63043,56218,178418.02,498,124,665,3660000,106000,26000,31600,2110000000,-6999.93
16-Jun-10,76176,67168,217020.46,515,188,625,3750000,129000,27500,6740,286800000,-6999.93
23-Jun-10,70294,61262,184154.24,499,113,160,3780000,109000,34000,16400,406000000,-6999.93
30-Jun-10,65018,56684,164825.14,519,82,410,3020000,133000,54000,11357,174500000,-6999.93
07-Jul-10,67734,59297,172721.79,510,112,810,4290000,127000,50000,36800,2130000000,-6999.93
14-Jul-10,78595,68523,201342.39,556,132,610,4160000,113000,33600,10270,575000000,-6999.93
21-Jul-10,55457,49529,155637.74,565,152,760,2740000,100000,25300,6110,35000000,-6999.93
28-Jul-10,53680,48487,153318.66,596,249,1190,3460000,101000,23900,5020,92800000,-6999.93
04-Aug-10,82622,70152,202788.87,571,142,1830,32400000,228000,23300,28430,1614500000,-6999.93
11-Aug-10,94430,78353,226011.19,593,371,2290,3760000,123000,25100,20920,906500000,-6999.93
18-Aug-10,63072,55943,181778.86,586,253,830,7050000,506000,25300,9490,369000000,-6999.93
25-Aug-10,67539,59676,181295.97,529,56,130,8530000,119000,24300,7140,158100000,-6999.93
01-Sep-10,64477,56990,164674.51,518,176,1170,8840000,107000,24400,40500,2810000000,-6999.93
08-Sep-10,79082,69920,199801.65,549,268,1020,3760000,102000,24500,5540,186500000,-6999.93
15-Sep-10,73914,65093,189681.12,547,109,490,3660000,107000,24200,2515,22000000,-6999.93
22-Sep-10,70135,61696,188506.38,581,280,2982,1580000,98000,24000,5150,19500000,-6999.93
29-Sep-10,71592,62002,184264.88,591,317,3560,2270000,96000,23400,10130,80800000,-6999.93
06-Oct-10,66183,58057,182969.98,567,193,1270,2210000,97000,24300,4540,60900000,-6999.93
13-Oct-10,71455,63323,200498.31,530,82,270,1406000,101000,24700,4835,40560000,-6999.93
20-Oct-10,70112,61645,196777.62,595,389,2610,1264000,99000,24200,7000,65400000,-6999.93
27-Oct-10,64187,55604,175080.04,592,352,2970,5776000,97000,23900,24020,1013400000,-6999.93
03-Nov-10,69999,57225,198742.15,575,180,2540,8690000,105000,30400,12010,513000000,-6999.93
10-Nov-10,73520,62631,192823.19,590,266,510,5360000,99000,24500,1420,54000000,-6999.93
17-Nov-10,50878,44265,137593.16,615,426,1750,7580000,99000,26200,19560,400500000,-6999.93
24-Nov-10,69267,57487,185367.65,555,172,980,11700000,101000,26000,10070,295400000,-6999.93
01-Dec-10,57630,49400,157288.94,567,181,755,4620000,97000,23800,5290,57200000,-6999.93
08-Dec-10,84724,71381,233558,612,245,3730,4630000,98000,23600,690,9600000,-6999.93
15-Dec-10,77806,65924,210540.1,616,193,2340,9180000,98000,23200,4760,29340000,-6999.93
22-Dec-10,75165,64243,185351.31,562,34,80,2877000,94000,23200,11330,142700000,-6999.93
29-Dec-10,60302,52390,150294.29,563,138,230,2546000,103000,29300,2082,16790000,-6999.93
05-Jan-11,61570,55176,169614.68,627,305,1750,1009000,98000,23900,696,5930000,-6999.93
12-Jan-11,70438,62517,200027.92,587,266,1080,3700000,97000,23300,20050,525970000,-6999.93
19-Jan-11,66408,58845,189038.38,563,149,750,4130000,97000,23500,12900,248000000,-6999.93
26-Jan-11,61520,55170,161323.46,586,228,1750,2760000,98000,24000,6770,93100000,-6999.93
02-Feb-11,70314,62486,200871.75,566,141,335,4600000,191000,25000,831,11170000,-6999.93
09-Feb-11,83275,74723,245929.22,584,310,545,3010000,98000,24100,26260,1590400000,-6999.93
16-Feb-11,82045,71787,210629.59,725,480,2155,4760000,185000,24200,8934,538900000,-6999.93
23-Feb-11,74640,64133,196605.9,727,455,3390,3924000,97000,24300,14680,338540000,-6999.93
02-Mar-11,66611,57954,188556.37,677,356,2590,2279000,98000,23300,9591,287900000,-6999.93
09-Mar-11,69589,61940,209267.09,977,798,9010,36820000,4375000,25500,29800,2384000000,-6999.93
16-Mar-11,64006,57038,191572.62,792,483,5510,62260000,1073000,24200,8300,152200000,-6999.93
23-Mar-11,62819,55425,181332.87,665,286,1820,9330000,884000,29400,4100,87900000,-6999.93
30-Mar-11,66593,58155,190031.9,806,715,4030,1880000,97000,21900,3273,37930000,-6999.93
06-Apr-11,76105,66787,197736.03,783,478,2150,6622000,102000,21700,28734,2908220000,-6999.93
13-Apr-11,72565,63954,187420.04,765,657,2100,2540000,89000,22300,8050,110400000,-6999.93
20-Apr-11,63894,54818,178130.93,820,652,5225,2568000,91000,22400,8570,258900000,-6999.93
27-Apr-11,59416,51694,169298.95,793,524,3595,877000,91000,21900,3050,40700000,-6999.93
04-May-11,72940,63948,207062.74,760,474,2660,5220000,88000,21000,21300,1319900000,-6999.93
11-May-11,79728,69500,218071.17,707,522,1815,3160000,96000,22400,23510,2282200000,-6999.93
18-May-11,74013,65292,199501.62,646,361,1060,3000000,92000,22000,5380,76400000,-6999.93
25-May-11,64821,57527,170479.45,583,243,1020,1940000,92000,22800,7040,119700000,-6999.93
01-Jun-11,58125,51802,157616.06,723,629,3820,9450000,91000,21600,20040,1351900000,-6999.93
08-Jun-11,63895,57098,187784.93,711,600,2460,41980000,4377000,196500,19330,1549700000,-6999.93
15-Jun-11,59115,53024,177660.76,633,246,830,16110000,1383000,23000,9040,189800000,-6999.93
22-Jun-11,67158,58582,187070.93,689,385,2050,71160000,340000,20400,5630,74300000,-6999.93
29-Jun-11,64655,57102,187379.9,639,294,830,3590000,84000,20500,27700,1470000000,-6999.93
06-Jul-11,70163,61639,207434.89,604,291,905,1441000,87000,21400,5444,129190000,-6999.93
13-Jul-11,68032,60441,201159.78,626,453,1410,1250000,88000,21300,15720,345500000,-6999.93
20-Jul-11,71603,62365,192947.72,688,647,2405,2760000,87000,21600,18420,637200000,-6999.93
27-Jul-11,63398,55698,176752,642,319,1405,2630000,87000,21800,27900,1507000000,-6999.93
03-Aug-11,72550,61464,212600.54,818,695,7475,2191000,178000,21600,12140,298200000,-6999.93
10-Aug-11,57834,51673,177584.84,730,526,4930,158500000,9793000,96800,18500,650500000,-6999.93
17-Aug-11,57264,51724,169659.73,619,179,775,4490000,103000,20600,20500,908000000,-6999.93
24-Aug-11,53438,48045,153741.84,714,466,2910,2740000,87000,21600,8090,159800000,-6999.93
31-Aug-11,49757,44958,144400.42,725,585,2055,1440000,87000,21500,1941,25500000,-6999.93
07-Sep-11,56140,50539,164550.78,809,730,3980,3950000,522000,34000,6550,79700000,-6999.93
14-Sep-11,59798,53952,176060.34,855,642,4880,5380000,197000,20800,13140,523500000,-6999.93
21-Sep-11,57576,51880,182881.5,1008,959,5710,1250000,88000,21900,12200,728500000,-6999.93
28-Sep-11,54751,49323,170063.01,1088,673,9340,143840000,5761000,28100,4384,65600000,-6999.93
05-Oct-11,56256,50299,171008.6,929,677,6250,11660000,194000,21100,16700,450000000,-6999.93
12-Oct-11,59324,52666,174727.86,875,668,5250,3950000,89000,21100,1331,27700000,-6999.93
19-Oct-11,49740,44160,145814.99,1010,1077,8360,1590000,85000,21100,1058,14400000,-6999.93
26-Oct-11,46142,41429,136379.46,1063,948,7020,183518000,785000,21300,856,13030000,-6999.93
02-Nov-11,56184,50267,163230.59,947,679,4960,2540000,87000,21700,2150,7450000,-6999.93
09-Nov-11,52321,46748,162762.06,1216,1002,13277,2510000,330000,26000,6520,77500000,-6999.93
16-Nov-11,53725,48025,160336.95,1128,1015,8700,3130000,92000,20900,2260,60400000,-6999.93
23-Nov-11,73950,61422,208148.02,995,865,4950,1270000,91000,21500,1065,48500000,-6999.93
30-Nov-11,60048,51056,168351.17,963,873,4210,131560000,5936000,21900,1627,28350000,-6999.93
07-Dec-11,82656,73390,211663.64,1094,937,5555,2220000,95000,22500,11410,83000000,-6999.93
14-Dec-11,76231,66863,195681.83,960,663,4040,2110000,89000,22400,4770,36900000,-6999.93
21-Dec-11,66469,57158,176140.76,903,667,2490,3000000,92000,22200,2112,21600000,-6999.93
28-Dec-11,50941,44749,139610.72,1002,753,6425,2910000,182000,22200,1015,6770000,-6999.93
04-Jan-12,64489,56108,190698.26,957,617,5985,3810000,115000,20900,1123,5840000,-6999.93
